id,texto
46,"O cérebro humano é o órgão central do sistema nervoso humano, e com a medula espinhal, forma o sistema nervoso central. O cérebro controla a maioria das atividades do corpo, processando, integrando e coordenando as informações que recebe dos órgãos dos sentidos."
47,"O coração é um órgão muscular presente nos humanos e em outros animais que bombeia o sangue através dos vasos sanguíneos do sistema circulatório. O sangue fornece ao corpo oxigênio e nutrientes, além de auxiliar na eliminação de resíduos metabólicos."
48,"O pulmão é o órgão do sistema respiratório responsável pelas trocas gasosas entre o ambiente e o sangue. Nos seres humanos, os dois pulmões estão localizados na cavidade torácica, protegidos pela caixa torácica."
49,"O fígado é um órgão glandular localizado no quadrante superior direito do abdômen, abaixo do diafragma. Ele desempenha um papel central no metabolismo e tem mais de 500 funções, incluindo a produção de bile, a síntese de proteínas e a desintoxicação de várias substâncias."
50,"O rim é um órgão do sistema urinário responsável pela filtração do sangue e pela produção de urina. Os rins desempenham um papel vital na homeostase, regulando o equilíbrio de eletrólitos, a pressão arterial e o pH do sangue."
51,"A baleia-azul é um mamífero marinho pertencente à subordem dos misticetos. Com até 30 metros de comprimento e mais de 180 toneladas de peso, são os maiores animais que já existiram."
52,"O leão é uma espécie de mamífero carnívoro do gênero Panthera e da família Felidae. É uma das quatro espécies de 'grandes felinos' no gênero Panthera, e é um predador de topo. Alguns leões machos excedem 250 kg de peso, sendo o segundo maior felino vivo depois do tigre."
53,"O tigre é um mamífero carnívoro da família dos felídeos e uma das cinco espécies do gênero Panthera. É o maior felino do mundo, reconhecível pelo seu padrão de listras verticais escuras em pelagem alaranjada."
54,"O elefante é o maior mamífero terrestre do mundo. Existem duas espécies principais: o elefante-africano e o elefante-asiático. São conhecidos por suas grandes orelhas, tromba e presas de marfim."
55,"A girafa é um mamífero africano e o mais alto de todos os animais terrestres. Sua característica mais distintiva é o seu pescoço extremamente longo, que, juntamente com suas pernas longas, pode atingir uma altura de 5 a 6 metros."
56,"O ouro é um elemento químico do grupo 11 da tabela periódica, de número atômico 79. É um metal de transição nobre, macio, denso e maleável, de cor amarela brilhante. É um dos metais mais preciosos e tem sido usado como moeda, em joias e em artes desde o início da história registrada."
57,"O ferro é um elemento químico, símbolo Fe, de número atômico 26 e massa atômica 56 u. É um metal do grupo 8 da tabela periódica. O ferro é, em massa, o elemento mais comum na Terra, formando grande parte do núcleo externo e interno da Terra."
58,"O oxigênio é um elemento químico com o símbolo O e número atômico 8. É um membro do grupo dos calcogênios na tabela periódica, um não-metal altamente reativo e um agente oxidante que forma facilmente óxidos com a maioria dos elementos, bem como com outros compostos."
59,"Um buraco negro é uma região do espaço-tempo em que o campo gravitacional é tão intenso que nada - nem matéria, nem radiação eletromagnética como a luz - pode escapar dela. A teoria da relatividade geral prevê que uma massa suficientemente compacta pode deformar o espaço-tempo para formar um buraco negro."
60,"A gravidade é uma força fundamental da natureza pela qual todos os corpos com massa ou energia são atraídos um pelo outro. A gravidade é responsável por manter os planetas em órbita ao redor do Sol, a Lua em órbita ao redor da Terra e pela formação de estrelas e galáxias."
61,"A velocidade da luz no vácuo, comumente denotada por 'c', é uma constante física universal importante em muitas áreas da física. Seu valor exato é definido como 299.792.458 metros por segundo. É a velocidade máxima na qual toda a energia, matéria e informação no universo podem viajar."
62,"Um telescópio é um instrumento óptico que torna os objetos distantes mais próximos, usando um arranjo de lentes ou espelhos curvos, ou ambos. O primeiro telescópio prático conhecido foi um telescópio refrator inventado na Holanda no início do século XVII."
63,O microscópio é um instrumento de laboratório usado para examinar objetos que são pequenos demais para serem vistos a olho nu. A microscopia é a ciência de investigar pequenos objetos e estruturas usando tal instrumento.
64,"A imprensa, ou prensa móvel, é um dispositivo para aplicar pressão a uma superfície com tinta, transferindo assim uma imagem para uma folha de papel ou outro material. A invenção da imprensa por Johannes Gutenberg por volta de 1440 é amplamente considerada como um dos eventos mais influentes do segundo milênio."
65,"A biologia é a ciência natural que estuda a vida e os organismos vivos, incluindo sua estrutura, função, crescimento, origem, evolução, distribuição e taxonomia. A biologia é um vasto campo composto por muitas subdivisões, tópicos e disciplinas."
66,"A química é o ramo da ciência que estuda as propriedades, a composição e a estrutura de elementos e compostos, como eles podem mudar e a energia que é liberada ou absorvida quando eles mudam. É frequentemente chamada de 'a ciência central' por sua conexão com outras ciências."
67,"A física é a ciência natural que estuda a matéria, seu movimento e comportamento através do espaço e do tempo, e as entidades relacionadas de energia e força. É uma das disciplinas científicas mais fundamentais, e seu principal objetivo é entender como o universo se comporta."
68,"A astronomia é uma ciência natural que estuda corpos celestes e fenômenos. Usa a matemática, a física e a química para explicar sua origem e evolução. Objetos de interesse incluem planetas, luas, estrelas, nebulosas, galáxias e cometas."
69,"A Idade Média é um período da história da Europa entre a queda do Império Romano do Ocidente, no século V, até a queda de Constantinopla, no século XV. É subdividida em Alta Idade Média e Baixa Idade Média."
70,"A Guerra Fria foi um período de tensão geopolítica entre a União Soviética e os Estados Unidos e seus respectivos aliados, o Bloco Oriental e o Bloco Ocidental, após a Segunda Guerra Mundial. O período é geralmente considerado como abrangendo de 1947 a 1991."
71,"O Egito Antigo foi uma civilização do Antigo Nordeste da África, concentrada ao longo do curso inferior do rio Nilo, no que é hoje o país do Egito. A civilização floresceu por cerca de três milênios, conhecida por suas pirâmides, faraós e hieróglifos."
72,"O Império Romano foi o período pós-republicano da Roma Antiga. Como um sistema político, incluía grandes possessões territoriais ao redor do Mar Mediterrâneo na Europa, Norte da África e Ásia Ocidental governadas por imperadores. A queda do Império Romano do Ocidente em 476 d.C. marcou o início da Idade Média."
73,"A Grécia Antiga foi uma civilização pertencente a um período da história grega que durou da Idade das Trevas grega (c. 1200 a.C.) até o fim da Antiguidade (c. 600 d.C.). É famosa por seus filósofos, como Sócrates e Platão, e por ser o berço da democracia."
74,"A civilização maia foi uma civilização mesoamericana desenvolvida pelo povo maia, e notada por seu sistema de escrita logosilábico - o mais sofisticado e altamente desenvolvido sistema de escrita na América pré-colombiana - bem como por sua arte, arquitetura, matemática, calendário e sistema astronômico."
75,"O Império Inca foi o maior império da América pré-colombiana. O centro administrativo, político e militar do império estava localizado na cidade de Cusco, no atual Peru. A civilização inca surgiu nas terras altas do Peru no início do século XIII."
76,"Os astecas foram uma cultura mesoamericana que floresceu no centro do México no período pós-clássico de 1300 a 1521. Os povos astecas incluíam diferentes grupos étnicos do México central, particularmente aqueles que falavam a língua náuatle."
77,"Cleópatra VII foi a última governante ativa do Reino Ptolomaico do Egito. Como membro da dinastia ptolomaica, ela era uma descendente de seu fundador, Ptolomeu I Sóter, um general greco-macedônio e companheiro de Alexandre, o Grande."
78,Júlio César foi um general romano e estadista que desempenhou um papel crítico nos eventos que levaram ao fim da República Romana e à ascensão do Império Romano. Ele é famoso por suas campanhas militares na Gália e por sua guerra civil contra Pompeu.
79,Napoleão Bonaparte foi um estadista e líder militar francês que ganhou destaque durante a Revolução Francesa e liderou várias campanhas de sucesso durante as Guerras Revolucionárias Francesas. Ele foi Imperador dos Franceses de 1804 a 1814 e novamente em 1815.
80,"O feudalismo foi a combinação de costumes legais, econômicos, militares e culturais que floresceram na Europa medieval entre os séculos IX e XV. Definido amplamente, era uma maneira de estruturar a sociedade em torno de relações derivadas da posse de terras em troca de serviço ou trabalho."
81,"O absolutismo é uma forma de governo monárquico que foi prevalente na Europa do século XVI ao XVIII. Nele, o monarca detém poder supremo e irrestrito, não sendo limitado por leis, legislatura ou costumes. A doutrina do direito divino dos reis era uma justificativa comum para o absolutismo."
82,"O cristianismo é uma religião abraâmica monoteísta baseada na vida e nos ensinamentos de Jesus de Nazaré. Seus adeptos, conhecidos como cristãos, acreditam que Jesus é o Cristo, cujo advento como o messias foi profetizado na Bíblia hebraica, chamada de Antigo Testamento no cristianismo."
83,"O islamismo é uma religião abraâmica monoteísta centrada no Alcorão, um texto religioso que os muçulmanos acreditam ser a palavra literal de Deus (Alá), e nos ensinamentos e exemplos normativos de Maomé, considerado pelos muçulmanos como o último profeta de Deus."
84,"O budismo é uma religião e filosofia que abrange uma variedade de tradições, crenças e práticas espirituais amplamente baseadas nos ensinamentos originais atribuídos a Buda (Siddhartha Gautama). Originou-se na Índia antiga como uma tradição Sramana em algum momento entre os séculos VI e IV a.C."
85,"O hinduísmo é uma religião indiana e dharma, ou modo de vida. É a terceira maior religião do mundo, com mais de 1,25 bilhão de seguidores, ou 15-16% da população global, conhecidos como hindus. O hinduísmo é a mais antiga religião viva."
86,"O judaísmo é uma religião abraâmica, monoteísta e étnica que compreende a tradição e a cultura coletiva do povo judeu. Tem suas raízes como uma religião organizada no Oriente Médio durante a Idade do Bronze."
87,"O estoicismo é uma escola de filosofia helenística fundada em Atenas por Zenão de Cítio no início do século III a.C. Os estoicos ensinaram que a virtude, o bem maior, é baseada no conhecimento; os sábios vivem em harmonia com a Razão divina que governa a natureza."
88,"O epicurismo é um sistema de filosofia baseado nos ensinamentos de Epicuro, fundado por volta de 307 a.C. Epicuro era um materialista atomista, seguindo os passos de Demócrito. Seu materialismo o levou a uma oposição geral à superstição e à ideia de intervenção divina."
89,"O existencialismo é uma forma de investigação filosófica que explora o problema da existência humana e centra-se na experiência de pensar, sentir e agir do indivíduo. É geralmente considerado um movimento filosófico do século XIX e XX."
90,"Platão foi um filósofo ateniense durante o período clássico da Grécia Antiga, fundador da Academia platônica, a primeira instituição de ensino superior do mundo ocidental. Ele é amplamente considerado a figura central na história da filosofia antiga e ocidental."
91,"Aristóteles foi um filósofo grego durante o período clássico da Grécia Antiga, aluno de Platão e fundador do Liceu e da escola peripatética de filosofia e da tradição aristotélica. Seus escritos abrangem muitos assuntos, incluindo física, biologia, zoologia, metafísica, lógica, ética, estética, poesia, teatro, música, retórica e política."
92,"Sócrates foi um filósofo grego de Atenas, creditado como um dos fundadores da filosofia ocidental. É uma figura enigmática, conhecida principalmente através dos relatos de escritores clássicos, especialmente os escritos de seus alunos Platão e Xenofonte."
93,"Immanuel Kant foi um filósofo alemão e uma das figuras centrais da filosofia moderna. Em sua doutrina do idealismo transcendental, ele argumentou que o espaço, o tempo e a causalidade são meras sensibilidades; coisas 'em si' são incognoscíveis."
94,"Friedrich Nietzsche foi um filósofo, crítico cultural, compositor, poeta e filólogo alemão cuja obra exerceu uma profunda influência na história intelectual moderna. Ele começou sua carreira como filólogo clássico antes de se voltar para a filosofia."
95,"Vincent van Gogh foi um pintor pós-impressionista holandês que se tornou uma das figuras mais famosas e influentes da história da arte ocidental. Em pouco mais de uma década, ele criou cerca de 2.100 obras de arte, incluindo cerca de 860 pinturas a óleo."
96,"Pablo Picasso foi um pintor, escultor, gravurista, ceramista e cenógrafo espanhol que passou a maior parte de sua vida adulta na França. É considerado um dos artistas mais influentes do século XX e é conhecido por co-fundar o movimento cubista."
97,"Michelangelo di Lodovico Buonarroti Simoni, comumente conhecido como Michelangelo, foi um escultor, pintor, arquiteto e poeta italiano do Alto Renascimento que exerceu uma influência incomparável no desenvolvimento da arte ocidental. Suas obras mais famosas incluem o 'Davi' e o teto da Capela Sistina."
98,"Salvador Dalí foi um proeminente artista surrealista espanhol nascido em Figueres, Catalunha, Espanha. Dalí era um desenhista habilidoso, mais conhecido pelas imagens impressionantes e bizarras em sua obra surrealista. Sua habilidade pictórica é frequentemente atribuída à influência dos mestres da Renascença."
99,"Frida Kahlo foi uma pintora mexicana conhecida por seus muitos retratos, autorretratos e obras inspiradas na natureza e nos artefatos do México. Inspirada na cultura popular do país, ela empregou um estilo de arte popular ingênuo para explorar questões de identidade, pós-colonialismo, gênero, classe e raça na sociedade mexicana."
100,"O Barroco é um estilo de arquitetura, música, dança, pintura, escultura e outras artes que floresceu na Europa do início do século XVII até meados do século XVIII. Caracteriza-se pelo drama, exuberância e grandeza."
101,"O Impressionismo é um movimento artístico do século XIX caracterizado por pinceladas relativamente pequenas, finas, mas visíveis, composição aberta, ênfase na representação precisa da luz em suas qualidades mutáveis, matéria comum e ângulos de visão incomuns."
102,"O Cubismo é um movimento de arte de vanguarda do início do século XX, revolucionário na pintura e escultura europeias, que inspirou movimentos relacionados na música, literatura e arquitetura. No cubismo, os objetos são analisados, decompostos e remontados em uma forma abstraída."
103,O Surrealismo foi um movimento cultural que se desenvolveu na Europa após a Primeira Guerra Mundial e foi em grande parte influenciado pelo Dadaísmo. O movimento é mais conhecido por suas artes visuais e escritos. Artistas surrealistas pintavam cenas perturbadoras e ilógicas com precisão fotográfica.
104,"A Pop Art é um movimento artístico que surgiu no Reino Unido e nos Estados Unidos em meados e final dos anos 1950. O movimento apresentou um desafio às tradições das belas-artes, incluindo imagens da cultura popular, como publicidade, notícias e objetos do cotidiano."
105,"William Shakespeare foi um poeta, dramaturgo e ator inglês, amplamente considerado o maior escritor da língua inglesa e o maior dramaturgo do mundo. Suas obras, incluindo colaborações, consistem em aproximadamente 39 peças, 154 sonetos e dois longos poemas narrativos."
106,"Machado de Assis foi um romancista, poeta, dramaturgo e contista brasileiro. Amplamente considerado o maior escritor da literatura brasileira, suas obras-primas incluem 'Memórias Póstumas de Brás Cubas' e 'Dom Casmurro'."
107,"Fernando Pessoa foi um poeta, escritor, crítico literário, tradutor, editor e filósofo português, descrito como uma das figuras literárias mais significativas do século XX e um dos maiores poetas da língua portuguesa. Ele escreveu e publicou sob vários heterônimos."
108,"Miguel de Cervantes foi um escritor espanhol amplamente considerado como o maior escritor da língua espanhola e um dos romancistas mais proeminentes do mundo. Sua obra mais conhecida, 'Dom Quixote', é considerada o primeiro romance moderno."
109,"Edgar Allan Poe foi um escritor, poeta, editor e crítico literário americano. Poe é mais conhecido por sua poesia e contos, particularmente seus contos de mistério e do macabro. É amplamente considerado uma figura central do Romantismo nos Estados Unidos e na literatura americana como um todo."
110,"Virginia Woolf foi uma escritora inglesa, considerada uma das mais importantes figuras modernistas do século XX. Durante o período entre guerras, Woolf foi uma figura significativa na sociedade literária de Londres e um membro central do Grupo de Bloomsbury."
111,"Dom Quixote de la Mancha é um romance espanhol de Miguel de Cervantes. Publicado em duas partes, em 1605 e 1615, é considerado o trabalho mais influente da literatura do Século de Ouro Espanhol e de todo o cânone literário espanhol."
112,"Cem Anos de Solidão é um romance de 1967 do autor colombiano Gabriel García Márquez. É considerado uma obra-prima da literatura latino-americana e universal, e um dos livros mais traduzidos e lidos em espanhol."
113,"A Divina Comédia é um longo poema narrativo italiano de Dante Alighieri, iniciado c. 1308 e concluído em 1320. É amplamente considerado a obra proeminente na literatura italiana e uma das maiores obras da literatura mundial. O poema descreve a jornada de Dante pelo Inferno, Purgatório e Paraíso."
114,"Moby Dick; ou, A Baleia, é um romance de 1851 do autor americano Herman Melville. O livro é a saga do marinheiro Ishmael e sua viagem no baleeiro Pequod, comandado pelo Capitão Ahab, que busca vingança contra Moby Dick, uma baleia branca gigante."
115,"O Grande Gatsby é um romance de 1925 do escritor americano F. Scott Fitzgerald. Ambientado na Era do Jazz, na Long Island de Nova York, o romance retrata a história do misterioso milionário Jay Gatsby e sua paixão obsessiva pela bela ex-debutante Daisy Buchanan."
116,"O rock and roll é um gênero de música popular que se originou e evoluiu nos Estados Unidos durante o final dos anos 1940 e início dos anos 1950 a partir de gêneros musicais como gospel, jump blues, jazz, boogie woogie e rhythm and blues."
117,"O jazz é um gênero musical que se originou nas comunidades afro-americanas de Nova Orleans, Estados Unidos, no final do século XIX e início do século XX, com suas raízes no blues e no ragtime. É caracterizado por notas de swing, polirritmias e improvisação."
118,"A música clássica geralmente se refere à tradição musical formal do mundo ocidental, considerada distinta da música popular ou folclórica. Abrange um período amplo, desde aproximadamente o século XI até os dias atuais."
119,"O hip hop é um gênero musical e movimento cultural que se formou durante a década de 1970 por jovens afro-americanos, caribenhos e latinos do bairro do Bronx, em Nova Iorque. Caracteriza-se por seus quatro elementos principais: rap, DJing, breakdance e grafite."
120,"O blues é um gênero e forma musical vocal e instrumental que se originou em comunidades afro-americanas no sul dos Estados Unidos por volta da década de 1860. O blues formou a base para muitos outros gêneros musicais populares, como jazz, rhythm and blues (R&B) e rock and roll."
121,O reggae é um gênero musical que se originou na Jamaica no final da década de 1960. O termo também denota a música popular moderna da Jamaica e sua diáspora. Uma das características mais facilmente reconhecíveis é a sua batida rítmica acentuada no tempo fraco.
122,"Wolfgang Amadeus Mozart foi um prolífico e influente compositor do período clássico. Nascido em Salzburgo, Mozart mostrou uma habilidade prodigiosa desde a mais tenra idade. Compôs mais de 600 obras, muitas reconhecidas como pináculos da música sinfônica, concertante, de câmara, operística e coral."
123,"Ludwig van Beethoven foi um compositor e pianista alemão. Uma figura crucial na transição entre as eras clássica e romântica na música ocidental, ele continua sendo um dos compositores mais reconhecidos e influentes de todos os tempos. Suas obras mais conhecidas incluem 9 sinfonias, 5 concertos para piano e 32 sonatas para piano."
124,"Johann Sebastian Bach foi um compositor, organista, cravista, violista e violinista alemão do período barroco. Ele enriqueceu os estilos alemães estabelecidos através de sua habilidade em contraponto, harmonia e organização motívica, e sua adaptação de ritmos, formas e texturas do exterior."
125,"Frédéric Chopin foi um compositor e pianista virtuoso polonês do período romântico, que escreveu principalmente para piano solo. Ele manteve renome mundial como um dos principais músicos de sua era, cujo 'gênio poético era baseado em uma técnica profissional que não era páreo para ninguém em sua geração'."
126,"Antonio Vivaldi foi um compositor, violinista, professor e padre católico italiano do período barroco. Nascido em Veneza, ele é reconhecido como um dos maiores compositores barrocos, e sua influência durante sua vida foi generalizada pela Europa. Compôs muitas obras instrumentais, especialmente para o violino, bem como obras corais sacras e mais de quarenta óperas."
127,"The Beatles foram uma banda de rock inglesa formada em Liverpool em 1960. Com os membros John Lennon, Paul McCartney, George Harrison e Ringo Starr, eles se tornaram amplamente considerados a banda mais importante e influente da era do rock."
128,"Queen é uma banda de rock britânica formada em Londres em 1970. Sua formação clássica era Freddie Mercury (vocais principais, piano), Brian May (guitarra, vocais), Roger Taylor (bateria, vocais) e John Deacon (baixo). Suas primeiras obras foram influenciadas pelo rock progressivo, hard rock e heavy metal, mas a banda gradualmente se aventurou em trabalhos mais convencionais e amigáveis ao rádio."
